start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file
11.4565,11.4682,23750,36176,Eptesicus serotinus,0.443,0.667,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
11.5925,11.6026,25468,32388,Nyctalus leisleri,0.411,0.649,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
11.6255,11.6398,22890,28179,Nyctalus leisleri,0.395,0.613,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
11.6785,11.6925,23750,35828,Eptesicus serotinus,0.429,0.665,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
11.7155,11.7259,25468,35758,Nyctalus leisleri,0.341,0.657,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
11.7565,11.7672,23750,31089,Nyctalus leisleri,0.331,0.625,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
11.8295,11.8408,25468,36301,Nyctalus leisleri,0.314,0.715,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
11.8685,11.8792,23750,32104,Eptesicus serotinus,0.25,0.615,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
11.9095,11.9238,22890,37222,Eptesicus serotinus,0.418,0.637,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
11.9625,11.9735,25468,33524,Nyctalus leisleri,0.262,0.59,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
12.0365,12.046,24609,35271,Eptesicus serotinus,0.355,0.622,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
12.0935,12.1047,24609,33396,Eptesicus serotinus,0.327,0.643,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
12.1505,12.1679,22890,36238,Eptesicus serotinus,0.362,0.654,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
12.2085,12.219,25468,36338,Eptesicus serotinus,0.264,0.657,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
12.3095,12.3221,23750,36136,Eptesicus serotinus,0.473,0.637,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
12.4095,12.4186,26328,35802,Eptesicus serotinus,0.333,0.636,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
12.5145,12.5282,22890,35285,Eptesicus serotinus,0.407,0.691,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
12.6475,12.6558,26328,36616,Eptesicus serotinus,0.417,0.657,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
12.6925,12.7042,23750,31126,Nyctalus leisleri,0.281,0.62,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
12.7595,12.7754,22890,34334,Eptesicus serotinus,0.384,0.629,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
12.8355,12.8473,23750,32455,Eptesicus serotinus,0.309,0.629,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
12.8755,12.8858,25468,34979,Nyctalus leisleri,0.273,0.667,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
12.9875,13.0017,22890,33523,Eptesicus serotinus,0.362,0.658,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
13.0175,13.0317,22890,34161,Eptesicus serotinus,0.339,0.639,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
13.1375,13.1479,25468,43847,Eptesicus serotinus,0.42,0.734,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
13.2145,13.2302,22031,29597,Nyctalus noctula,0.303,0.653,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
13.2675,13.2792,24609,38114,Eptesicus serotinus,0.538,0.731,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
