KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
LF,25920.0,7.075131436491299,271.8015,271.8144,25468.0,29524.0,Echolocation,Nyctalus leisleri,0.377,0.612,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_021000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,25920.0,9.649356843555074,0.1315,0.1438,25468.0,31297.0,Echolocation,Nyctalus leisleri,0.453,0.695,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_022000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,24000.0,4.087850239019345,30.0915,30.106,23750.0,27383.0,Echolocation,Nyctalus leisleri,0.522,0.59,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_022000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,24000.0,6.752761305966004,62.8495,62.8613,23750.0,29994.0,Echolocation,Nyctalus leisleri,0.277,0.596,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_022000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,24960.0,11.208410234198197,90.0265,90.0436,23750.0,28969.0,Echolocation,Nyctalus leisleri,0.308,0.528,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_022000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,24960.0,13.094568754641207,120.0085,120.0248,23750.0,28228.0,Echolocation,Nyctalus leisleri,0.308,0.528,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_022000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,24000.0,11.814278089840546,150.0395,150.0588,22890.0,26011.0,Echolocation,Nyctalus leisleri,0.615,0.665,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_022000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,24960.0,5.901531043507182,180.6695,180.6856,24609.0,27748.0,Echolocation,Nyctalus leisleri,0.51,0.623,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_022000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,24000.0,10.771783507225233,210.4745,210.4902,23750.0,27161.0,Echolocation,Nyctalus leisleri,0.564,0.628,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_022000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,25920.0,4.854902198106458,240.2745,240.2883,24609.0,28799.0,Echolocation,Nyctalus leisleri,0.43,0.638,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_022000.WAV,recover-20241011,UBNA_004,Carp Pond
