start_time,end_time,low_freq,high_freq,event,detection_confidence,input_file
78.8435,78.8484,24609.0,44538.0,Echolocation,0.554,20220914_030000.WAV
79.4415,79.4559,23750.0,38980.0,Echolocation,0.688,20220914_030000.WAV
79.5735,79.5868,24609.0,42799.0,Echolocation,0.579,20220914_030000.WAV
79.7105,79.7255,23750.0,39521.0,Echolocation,0.617,20220914_030000.WAV
79.8815,79.8974,23750.0,38282.0,Echolocation,0.716,20220914_030000.WAV
80.0255,80.0473,22031.0,35323.0,Echolocation,0.71,20220914_030000.WAV
80.1315,80.1403,25468.0,48596.0,Echolocation,0.624,20220914_030000.WAV
80.26050000000001,80.2737,23750.0,36061.0,Echolocation,0.545,20220914_030000.WAV
80.5085,80.5284,22031.0,33563.0,Echolocation,0.612,20220914_030000.WAV
80.6575,80.6729,22890.0,41444.0,Echolocation,0.609,20220914_030000.WAV
80.8905,80.8972,22890.0,35121.0,Echolocation,0.557,20220914_030000.WAV
81.9145,81.9302,23750.0,40103.0,Echolocation,0.592,20220914_030000.WAV
82.0525,82.07169999999999,22890.0,33887.0,Echolocation,0.571,20220914_030000.WAV
82.2065,82.2213,22890.0,32275.0,Echolocation,0.511,20220914_030000.WAV
82.7375,82.7565,21171.0,30576.0,Echolocation,0.53,20220914_030000.WAV
83.1065,83.1297,21171.0,30390.0,Echolocation,0.553,20220914_030000.WAV
83.3725,83.3934,22031.0,29116.0,Echolocation,0.51,20220914_030000.WAV
83.6305,83.6507,22031.0,30139.0,Echolocation,0.593,20220914_030000.WAV
83.8845,83.9006,22031.0,28360.0,Echolocation,0.565,20220914_030000.WAV
84.0425,84.0558,22890.0,31180.0,Echolocation,0.622,20220914_030000.WAV
84.3005,84.319,22031.0,30850.0,Echolocation,0.552,20220914_030000.WAV
84.4565,84.4716,22890.0,28397.0,Echolocation,0.56,20220914_030000.WAV
84.7115,84.727,22031.0,28421.0,Echolocation,0.532,20220914_030000.WAV
84.9725,84.9856,22031.0,27407.0,Echolocation,0.599,20220914_030000.WAV
85.2205,85.2336,22031.0,29997.0,Echolocation,0.669,20220914_030000.WAV
85.7265,85.7443,22031.0,30024.0,Echolocation,0.524,20220914_030000.WAV
86.4795,86.4936,22890.0,30350.0,Echolocation,0.596,20220914_030000.WAV
88.4305,88.4432,23750.0,29245.0,Echolocation,0.543,20220914_030000.WAV
88.8125,88.8262,22890.0,29748.0,Echolocation,0.607,20220914_030000.WAV
88.9665,88.97800000000001,22890.0,28775.0,Echolocation,0.6,20220914_030000.WAV
89.2255,89.2376,22890.0,28408.0,Echolocation,0.556,20220914_030000.WAV
91.3565,91.3718,25468.0,29886.0,Echolocation,0.562,20220914_030000.WAV
91.9145,91.9277,25468.0,31426.0,Echolocation,0.629,20220914_030000.WAV
92.0745,92.0894,24609.0,29963.0,Echolocation,0.543,20220914_030000.WAV
92.2515,92.2665,25468.0,29140.0,Echolocation,0.598,20220914_030000.WAV
92.6795,92.6944,24609.0,30590.0,Echolocation,0.608,20220914_030000.WAV
92.9335,92.9477,23750.0,29779.0,Echolocation,0.646,20220914_030000.WAV
96.5085,96.5248,23750.0,29203.0,Echolocation,0.524,20220914_030000.WAV
98.1315,98.1499,23750.0,27849.0,Echolocation,0.502,20220914_030000.WAV
98.9565,98.9721,23750.0,29581.0,Echolocation,0.56,20220914_030000.WAV
99.2355,99.25280000000001,23750.0,28460.0,Echolocation,0.52,20220914_030000.WAV
100.2945,100.3103,24609.0,29925.0,Echolocation,0.503,20220914_030000.WAV
100.4705,100.4845,26328.0,29753.0,Echolocation,0.503,20220914_030000.WAV
100.7005,100.7136,25468.0,30047.0,Echolocation,0.533,20220914_030000.WAV
105.6755,105.6889,24609.0,31828.0,Echolocation,0.653,20220914_030000.WAV
106.2115,106.2276,24609.0,29402.0,Echolocation,0.522,20220914_030000.WAV
107.0175,107.0343,23750.0,29490.0,Echolocation,0.51,20220914_030000.WAV
107.2885,107.303,24609.0,28832.0,Echolocation,0.562,20220914_030000.WAV
107.5515,107.56569999999999,23750.0,29933.0,Echolocation,0.612,20220914_030000.WAV
109.3115,109.3233,27187.0,32040.0,Echolocation,0.546,20220914_030000.WAV
109.4405,109.45230000000001,27187.0,32263.0,Echolocation,0.557,20220914_030000.WAV
110.1315,110.14359999999999,27187.0,34140.0,Echolocation,0.546,20220914_030000.WAV
110.9995,111.0141,25468.0,32641.0,Echolocation,0.645,20220914_030000.WAV
111.7595,111.7722,26328.0,32853.0,Echolocation,0.554,20220914_030000.WAV
112.1305,112.1435,26328.0,33663.0,Echolocation,0.611,20220914_030000.WAV
113.91550000000001,113.9279,26328.0,32879.0,Echolocation,0.641,20220914_030000.WAV
