Time (UTC),06/20/24,06/21/24,06/22/24,06/23/24,06/24/24,06/25/24,06/26/24,06/27/24,06/28/24,06/29/24,06/30/24,07/01/24,07/02/24,07/03/24,07/04/24,07/05/24,07/06/24,07/07/24,07/08/24,07/09/24,07/10/24,07/11/24,07/12/24,07/13/24,07/14/24,07/15/24,07/16/24,07/17/24,07/18/24,07/19/24,07/20/24,07/21/24,07/22/24,07/23/24,07/24/24,07/25/24,07/26/24,07/27/24,07/28/24,07/29/24,07/30/24,07/31/24,08/01/24,08/02/24,08/03/24,08/04/24,08/05/24,08/06/24,08/07/24,08/08/24,08/09/24,08/10/24,08/11/24,08/12/24
05:00,,13006.0,11918.0,7222.0,18120.0,11444.0,10308.0,9728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.33333333333334,174.0,874.6666666666666,762.6666666666666,1156.3333333333333,404.3333333333333,762.3333333333333,666.0,1918.3333333333333,5200.0,8358.0,9684.0,7188.0,9484.0,10794.0,16286.0,10668.0,12620.0,0.0,5628.0,12056.0,5868.0,9850.0,21144.0,15884.0,13012.0,8846.0,7670.0,9494.0,10172.0,4772.0,5254.0
05:30,,17380.0,17604.0,10236.0,15942.0,16170.0,10476.0,13176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2108.0,2628.0,2006.0,2044.0,2606.0,5636.0,936.0,1686.0,5570.0,7634.0,7960.0,2202.0,1614.0,2642.0,8678.0,8514.0,5206.0,16434.0,0.0,3002.0,9414.0,5160.0,19112.0,18096.0,10728.0,3356.0,4088.0,6072.0,3820.0,4670.0,2858.0,4314.0
06:00,,21936.0,17918.0,13712.0,11950.0,12820.0,9462.0,5572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1772.0,2408.0,3976.0,802.0,20.333333333333332,3596.0,2856.0,890.0,4946.0,2770.0,10706.0,1614.0,1322.0,938.0,2422.0,9500.0,7130.0,3914.0,0.0,2920.0,9276.0,5644.0,8920.0,13964.0,8128.0,2512.0,3678.0,4656.0,5366.0,4414.0,1396.0,3704.0
06:30,,16900.0,19938.0,14750.0,12412.0,8458.0,8448.0,738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,5218.0,2708.0,354.3333333333333,124.33333333333333,3056.0,816.0,254.0,3202.0,1788.0,1028.0,1428.0,916.0,1980.0,1052.0,2020.0,9148.0,1330.0,0.0,1978.0,2392.0,5384.0,4396.0,5802.0,474.6666666666667,654.0,1172.0,938.0,1532.0,2798.0,504.0,930.0
07:00,,15610.0,15796.0,15220.0,7384.0,1806.0,9528.0,2914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.3333333333333,3014.0,1312.3333333333333,124.33333333333333,262.0,2280.0,1902.0,538.0,2904.0,1600.0,1754.0,1.0,1294.0,1318.3333333333333,1332.3333333333333,2178.0,2214.0,1254.0,0.0,0.0,2062.0,2804.0,1638.0,3580.0,1464.0,220.0,270.0,2128.0,506.0,1356.0,1584.0,1292.0
07:30,,17758.0,10340.0,8766.0,6334.0,3194.0,4344.333333333333,5218.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.3333333333333,880.0,668.0,144.33333333333331,290.3333333333333,4044.0,382.0,478.0,692.0,1714.0,974.3333333333334,14.666666666666668,88.33333333333333,474.0,38.333333333333336,1500.0,296.0,300.0,0.0,0.0,626.0,2926.0,3854.0,1640.0,1242.0,132.33333333333334,84.0,3010.0,548.0,1416.0,210.33333333333334,608.3333333333334
08:00,,15366.0,7160.0,2802.0,806.0,3154.0,5406.0,6116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.33333333333334,84.66666666666667,676.0,862.0,54.333333333333336,182.66666666666666,400.0,364.0,1504.0,792.0,240.33333333333334,50.666666666666664,654.0,374.0,42.66666666666667,1114.0,1286.0,1566.3333333333335,0.0,0.0,742.0,2164.0,3888.0,2166.0,1356.0,100.33333333333333,8.666666666666666,3334.0,572.0,236.33333333333334,1342.0,184.0
08:30,,11394.0,10930.0,7988.0,70.66666666666667,564.6666666666666,2368.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.3333333333333,1130.0,538.0,310.6666666666667,134.33333333333334,494.0,778.0,434.0,206.33333333333334,522.0,150.33333333333331,84.33333333333334,160.33333333333331,368.33333333333337,20.666666666666668,974.0,764.0,500.0,0.0,0.0,582.0,1194.0,1030.0,576.0,632.3333333333334,160.0,20.666666666666668,368.0,870.0,280.0,602.0,518.0
09:00,,8828.0,10644.0,5070.0,2.6666666666666665,638.6666666666667,4422.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.33333333333331,2508.0,162.0,46.0,1566.0,3148.0,254.0,1186.0,340.0,78.33333333333333,306.3333333333333,12.666666666666668,54.666666666666664,352.0,10.666666666666666,758.0,1288.0,1760.0,0.0,0.0,626.0,904.0,552.0,346.3333333333333,390.3333333333333,98.66666666666667,48.666666666666664,458.0,276.0,644.0,94.0,316.0
09:30,,6012.0,7922.0,4588.0,3362.3333333333335,22.666666666666668,1580.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.66666666666667,462.3333333333333,76.0,156.33333333333334,1828.0,1704.3333333333333,506.0,982.0,20.333333333333332,1208.3333333333333,188.0,770.0,10.666666666666666,488.0,1.0,362.3333333333333,554.0,4318.0,0.0,0.0,1200.0,1726.0,522.0,1488.0,84.0,290.0,24.333333333333336,606.0,746.0,670.0,444.0,42.33333333333333
10:00,,5466.0,8534.0,1556.0,1.0,46.66666666666667,4648.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620.0,132.33333333333331,266.3333333333333,92.66666666666667,10.666666666666666,1034.0,2814.3333333333335,438.0,228.33333333333334,4458.0,212.33333333333331,308.3333333333333,16.333333333333332,1082.3333333333333,44.666666666666664,90.0,528.3333333333334,2606.0,0.0,0.0,56.0,512.0,124.0,1562.0,198.0,172.0,146.33333333333334,154.0,980.0,626.0,312.0,588.3333333333334
10:30,,3594.0,6596.0,2072.0,1.0,1.0,3940.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,32.333333333333336,42.666666666666664,1.0,122.33333333333334,280.0,656.0,300.0,40.666666666666664,868.0,214.0,662.0,40.666666666666664,1450.0,24.666666666666664,134.0,154.33333333333334,1994.0,0.0,0.0,0.0,512.0,186.33333333333334,676.3333333333334,64.33333333333333,144.33333333333334,24.666666666666664,68.0,206.0,164.33333333333331,666.3333333333334,80.33333333333333
11:00,,4632.0,4566.0,2188.3333333333335,1.0,1.0,1074.6666666666667,48.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954.0,210.33333333333334,1.0,84.66666666666667,70.66666666666667,278.0,1.0,272.3333333333333,46.333333333333336,52.33333333333333,1.0,56.66666666666667,1.0,962.3333333333334,80.66666666666666,28.333333333333336,526.3333333333334,1152.0,0.0,0.0,0.0,78.33333333333333,172.33333333333334,98.33333333333333,124.33333333333333,108.66666666666666,136.33333333333331,50.0,226.0,8.666666666666668,18.666666666666668,634.3333333333333
