Date and Time deployed (local) , Date and Time recovered (local) , AudioMoth # , SD card # , Site , Latitude , Longitude , Sampling rate (Hz) , Gain , Filter , Amplitude threshold , ON (secs) , OFF (secs) , Battery start (V) , Battery end (V) , Deployer , Scribe , Uploader , Upload folder name , Notes
2024-06-13T11:09:00 , 2024-06-20T12:26:00 , J , 011 , Central Pond , 47° 39' 16.758'' N , 122° 17' 34.500'' W , 192000 , Medium , None , None , 300 , 300 , 4.385 , 3.678 , AK , MS , MS , recover-20240620 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
2024-06-13T11:09:00 , 2024-06-20T12:43:00 , A , 004 , Foliage , 47° 39' 18.972'' N , 122° 17' 26.592'' W , 192000 , Medium , None , None , 300 , 300 , 4.141 , 3.223 , AK , MS , MS , recover-20240620 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
2024-06-20T11:19:00 , 2024-06-27T12:24:00 , C , 010 , Carp Pond , 47° 39' 15.768'' N , 122° 17' 42.078'' W , 192000 , Medium , None , None , 300 , 300 , 4.220 , 3.770 , AK , MS , MS , recover-20240627 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
2024-06-20T11:20:00 , 2024-06-27T12:11:00 , G , 001 , E18 Bridge , 47° 39' 21.420'' N , 122° 17' 48.642'' W , 192000 , Medium , None , None , 300 , 300 , 4.384 , 3.650 , AK , MS , MS , recover-20240627 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
2024-06-20T11:20:00 , 2024-06-27T12:33:00 , N , 012 , Central Pond , 47° 39' 17.022'' N , 122° 17' 34.440'' W , 192000 , Medium , None , None , 300 , 300 , 4.123 , 3.527 , AK , MS , MS , recover-20240627 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
2024-06-20T11:20:00 , 2024-06-27T12:45:00 , K , 018 , Foliage , 47° 39' 19.092'' N , 122° 17' 26.910'' W , 192000 , Medium , None , None , 300 , 300 , 4.132 , 3.546 , AK , MS , MS , recover-20240627 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
2024-06-20T11:20:00 , 2024-06-27T13:04:00 , D , 009 , Telephone Field , 47° 39' 25.110'' N , 122° 17' 29.472'' W , 192000 , Medium , None , None , 300 , 300 , 4.132 , 3.740 , AK , MS , MS , recover-20240627 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
2024-06-27T11:50:00 , 2024-07-02T14:32:00 , A , 017 , Carp Pond , 47° 39' 15.882'' N , 122° 17' 42.688'' W , 192000 , Medium , None , None , 300 , 300 , 4.245 , 3.791 , CT , MS , AK , recover-20240702 , Panasonic Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
2024-06-27T11:50:00 , 2024-07-02T14:15:00 , L , 004 , E18 Bridge , 47° 39' 21.282'' N , 122° 17' 48.720'' W , 192000 , Medium , None , None , 300 , 300 , 4.377 , 3.818 , CT , MS , AK , recover-20240702 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
2024-06-27T11:51:00 , 2024-07-02T15:13:00 , J , 007 , Telephone Field , 47° 39' 25.132'' N , 122° 17' 29.188'' W , 192000 , Medium , None , None , 300 , 300 , 4.154 , 3.779 , MS , MS , AK , recover-20240702 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
2024-06-27T11:51:00 , 2024-07-02T14:45:00 , M , 021 , Central Pond , 47° 39' 17.118'' N , 122° 17' 34.662'' W , 192000 , Medium , None , None , 300 , 300 , 4.170 , 3.777 , CT , MS , AK , recover-20240702 , Panasonic Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
2024-06-27T11:51:00 , 2024-07-02T15:00:00 , I , 011 , Foliage , 47° 39' 19.008'' N , 122° 17' 26.902'' W , 192000 , Medium , None , None , 300 , 300 , 4.167 , 3.759 , MS , MS , AK , recover-20240702 , Panasonic Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Drive ubna_data_03 ran out of storage; Using 4TB temp drive;
2024-07-02T13:39:00 , 2024-07-11T18:05:00 , G , 009 , Foliage , 47° 39' 18.828'' N , 122° 17' 27.552'' W , 192000 , Medium , None , None , 300 , 300 , 4.227 , 3.704 , AK , YC , AK , recover-20240711 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Using ubna_data_04 drive now; All recordings from 4TB temp drive have been backed up to ubna_data_04;
2024-07-02T13:40:00 , 2024-07-11T17:19:00 , D , 012 , E18 Bridge , 47° 39' 21.282'' N , 122° 17' 48.720'' W , 192000 , Medium , None , None , 300 , 300 , 4.173 , 3.524 , AK , YC , AK , recover-20240711 , Ikea Batteries 0:00-24:00 UTC; Configured to 5m ON/OFF; Using ubna_data_04 drive now; All recordings from 4TB temp drive have been backed up to ubna_data_04;
