Date and Time deployed (local) , Date and Time recovered (local) , AudioMoth # , SD card # , SD card size (GB) , Amount of data recovered (GB) , Site , Latitude , Longitude , Sampling rate (Hz) , Gain , Filter , Amplitude threshold , ON (secs) , OFF (secs) , Battery start (V) , Battery end (V) , Deployer , Scribe , Uploader , Upload folder name , Notes
2025-03-10T09:30:00 , 2025-03-17T10:17:00 , G , 027 , 256 , 116.7 , Carp Pond , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.137 , 3.779 , AL , AM , AL , recover-20250317 , 9 Ikea Batteries 0:00-24:00 UTC
2025-03-17T09:30:00 , 2025-03-24T10:30:00 , Q , 029 , 256 , 116.8 , Telephone Field , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.198 , 3.824 , AL , AM , AL , recover-20250324 , 6 Ikea Batteries 0:00-24:00 UTC; Q is a 9-battery Audiomoth with one 3-battery pack temporarily removed
2025-03-17T09:30:00 , 2025-03-24T09:47:00 , M , 033 , 256 , 116.4 , E18 Bridge , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.211 , 3.819 , AL , AM , AL , recover-20250324 , 6 Ikea Batteries 0:00-24:00 UTC
2025-03-17T09:30:00 , 2025-03-24T10:13:00 , J , 022 , 256 , 116.5 , Central Pond , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.153 , 3.765 , AL , AM , AL , recover-20250324 , 6 Ikea Batteries 0:00-24:00 UTC; J is a 9-battery Audiomoth with one 3-battery pack temporarily removed
2025-03-17T09:30:00 , 2025-03-24T10:19:00 , D , 024 , 256 , 116.7 , Foliage , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.145 , 3.773 , AL , AM , AL , recover-20250324 , 6 Ikea Batteries 0:00-24:00 UTC
2025-03-17T09:30:00 , 2025-03-24T09:59:00 , E , 010 , 128 , 116.5 , Carp Pond , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.146 , 3.755 , AL , AM , AL , recover-20250324 , 6 Ikea Batteries 0:00-24:00 UTC; 128GB SD card due to 256GB SD card being used for in-lab experiments
2025-03-24T09:21:00 , (DATE-TIME) , B , 026 , 256 , (AMOUNT-RECOVERED) , Carp Pond , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.153 , (VOLT-END) , AL , AM , (UPLOADER) , (RECOVER-DATE) , 9 Ikea Batteries 0:00-24:00 UTC
2025-03-24T09:21:00 , (DATE-TIME) , H , 027 , 256 , (AMOUNT-RECOVERED) , E18 Bridge , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.114 , (VOLT-END) , AL , AM , (UPLOADER) , (RECOVER-DATE) , 6 Ikea Batteries 0:00-24:00 UTC; initially configured with 9 batteries but changed to 6 after one battery pack's wire snapped and therefore that battery pack was removed
2025-03-24T09:21:00 , (DATE-TIME) , A , 032 , 256 , (AMOUNT-RECOVERED) , Telephone Field , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.133 , (VOLT-END) , AL , AM , (UPLOADER) , (RECOVER-DATE) , 9 Ikea Batteries 0:00-24:00 UTC
2025-03-24T09:21:00 , (DATE-TIME) , N , 030 , 256 , (AMOUNT-RECOVERED) , Foliage , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.089 , (VOLT-END) , AL , AM , (UPLOADER) , (RECOVER-DATE) , 9 Ikea Batteries 0:00-24:00 UTC
2025-03-24T09:21:00 , (DATE-TIME) , C , 028 , 256 , (AMOUNT-RECOVERED) , Central Pond , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.332 , (VOLT-END) , AL , AM , (UPLOADER) , (RECOVER-DATE) , 9 Ikea Batteries 0:00-24:00 UTC
(DATE-TIME) , (DATE-TIME) , (AUDIOMOTH-NAME) , (SD-NUM) , (SD-SIZE) , (AMOUNT-RECOVERED) , (SITE) , (LATITUDE) , (LONGITUDE) , (SAMPLE-RATE) , (GAIN) , (FILTER) , (AMP-THRESHOLD) , (TIME-ON) , (TIME-OFF) , (VOLT-START) , (VOLT-END) , (DEPLOYER) , (SCRIBE) , (UPLOADER) , (RECOVER-DATE) , (NOTES)
