KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,47040.0,5.421278675142874,202.1925,202.2024,40937.0,53804.0,Echolocation,Pipistrellus nathusii,0.427,0.514,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240827_051000.WAV,recover-20240829,UBNA_008,Central Pond
LF,27840.0,17.340144731812735,256.1055,256.1196,26328.0,35859.0,Echolocation,Eptesicus serotinus,0.358,0.517,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240825_034000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24000.0,5.683151994600549,227.0685,227.0851,23750.0,27429.0,Echolocation,Nyctalus leisleri,0.444,0.504,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240821_122000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24960.0,6.837215927181458,164.7055,164.7195,23750.0,28915.0,Echolocation,Nyctalus leisleri,0.409,0.558,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240825_035000.WAV,recover-20240829,UBNA_008,Central Pond
HF,52800.0,9.98452240843786,181.3595,181.3672,48671.0,67199.0,Echolocation,Pipistrellus pipistrellus,0.531,0.612,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240823_103000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24960.0,12.828659946319664,186.6155,186.6308,23750.0,32291.0,Echolocation,Eptesicus serotinus,0.265,0.551,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240825_035000.WAV,recover-20240829,UBNA_008,Central Pond
LF,19200.0,24.334170496826385,176.76749999999998,176.7899,18593.0,21372.0,Echolocation,Nyctalus noctula,0.472,0.592,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240825_040000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24960.0,10.269325535722002,272.4775,272.4942,23750.0,27588.0,Echolocation,Nyctalus leisleri,0.473,0.543,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240825_040000.WAV,recover-20240829,UBNA_008,Central Pond
LF,26880.0,11.450334281303824,160.0475,160.0649,25468.0,28845.0,Echolocation,Nyctalus leisleri,0.477,0.543,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240821_081000.WAV,recover-20240829,UBNA_008,Central Pond
LF,21120.0,15.741962952568462,73.1535,73.1719,19453.0,21590.0,Echolocation,Nyctalus leisleri,0.506,0.55,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240825_041000.WAV,recover-20240829,UBNA_008,Central Pond
LF,26880.0,7.496652270747077,259.72950000000003,259.7434,26328.0,30173.0,Echolocation,Nyctalus leisleri,0.417,0.52,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240825_045000.WAV,recover-20240829,UBNA_008,Central Pond
LF,25920.0,19.186491175806104,30.1405,30.158,25468.0,28559.0,Echolocation,Nyctalus leisleri,0.56,0.606,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240825_050000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24960.0,16.028835122215735,92.6905,92.7061,24609.0,27783.0,Echolocation,Nyctalus leisleri,0.529,0.642,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240821_070000.WAV,recover-20240829,UBNA_008,Central Pond
LF,28800.0,14.858278753646424,74.9925,75.0083,27187.0,33011.0,Echolocation,Nyctalus leisleri,0.291,0.507,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240825_050000.WAV,recover-20240829,UBNA_008,Central Pond
LF,29760.0,4.727855433723279,101.5955,101.6065,28906.0,35574.0,Echolocation,Eptesicus serotinus,0.276,0.507,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240825_050000.WAV,recover-20240829,UBNA_008,Central Pond
LF,20160.0,25.33807199110701,263.9305,263.9502,19453.0,21844.0,Echolocation,Nyctalus leisleri,0.483,0.596,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240821_060000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24000.0,8.235047289691199,266.3225,266.339,23750.0,26285.0,Echolocation,Nyctalus leisleri,0.629,0.655,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240825_052000.WAV,recover-20240829,UBNA_008,Central Pond
HF,52800.0,6.205185128525489,6.7525,6.7596,48671.0,65319.0,Echolocation,Pipistrellus pipistrellus,0.417,0.512,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240825_041000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24960.0,6.899310992102193,34.3765,34.3891,24609.0,31597.0,Echolocation,Eptesicus serotinus,0.237,0.551,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240822_034000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24960.0,7.56050523165686,20.4215,20.4375,23750.0,28093.0,Echolocation,Nyctalus leisleri,0.467,0.602,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240826_041000.WAV,recover-20240829,UBNA_008,Central Pond
HF,44160.0,4.397515866552818,207.80349999999999,207.8122,41796.0,51825.0,Echolocation,Pipistrellus nathusii,0.466,0.511,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240823_072000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24000.0,5.818544139674011,294.3315,294.3502,22890.0,26318.0,Echolocation,Nyctalus leisleri,0.486,0.536,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240826_073000.WAV,recover-20240829,UBNA_008,Central Pond
HF,48000.0,8.571172681755439,179.1695,179.1787,47812.0,60303.0,Echolocation,Pipistrellus pipistrellus,0.526,0.562,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240823_053000.WAV,recover-20240829,UBNA_008,Central Pond
HF,46080.0,12.210224358565346,158.2215,158.23160000000001,42656.0,59730.0,Echolocation,Pipistrellus pipistrellus,0.193,0.521,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240823_050000.WAV,recover-20240829,UBNA_008,Central Pond
LF,26880.0,10.99419603335987,215.2585,215.2715,26328.0,33047.0,Echolocation,Nyctalus leisleri,0.259,0.532,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240826_075000.WAV,recover-20240829,UBNA_008,Central Pond
LF,23040.0,5.8570714525406675,56.0775,56.0951,22890.0,26443.0,Echolocation,Nyctalus leisleri,0.438,0.515,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240821_045000.WAV,recover-20240829,UBNA_008,Central Pond
HF,43200.0,6.624830204513082,8.4015,8.4107,39218.0,51625.0,Echolocation,Pipistrellus nathusii,0.46,0.523,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240822_123000.WAV,recover-20240829,UBNA_008,Central Pond
LF,28800.0,8.382384995897725,257.2875,257.2991,27187.0,35381.0,Echolocation,Eptesicus serotinus,0.336,0.612,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240826_090000.WAV,recover-20240829,UBNA_008,Central Pond
LF,26880.0,13.544014952959639,295.5835,295.5963,26328.0,30678.0,Echolocation,Nyctalus leisleri,0.399,0.546,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240826_104000.WAV,recover-20240829,UBNA_008,Central Pond
LF,25920.0,10.520814123585065,3.2685,3.2842,24609.0,30115.0,Echolocation,Nyctalus leisleri,0.326,0.552,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240821_045000.WAV,recover-20240829,UBNA_008,Central Pond
LF,27840.0,10.502617412097495,180.1345,180.1492,25468.0,31420.0,Echolocation,Nyctalus leisleri,0.373,0.58,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240822_042000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24000.0,13.937359738077191,32.658500000000004,32.6748,22890.0,28312.0,Echolocation,Nyctalus leisleri,0.232,0.505,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240827_033000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24000.0,5.9985764795325505,272.4185,272.4384,22890.0,26446.0,Echolocation,Nyctalus leisleri,0.538,0.575,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240821_044000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24960.0,7.0368549725497695,76.7805,76.7935,24609.0,33322.0,Echolocation,Eptesicus serotinus,0.385,0.605,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240827_033000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24000.0,20.70320052869903,94.50450000000001,94.5257,22890.0,32463.0,Echolocation,Nyctalus noctula,0.216,0.505,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240827_033000.WAV,recover-20240829,UBNA_008,Central Pond
LF,23040.0,3.33363931656637,240.0155,240.0314,22890.0,27335.0,Echolocation,Nyctalus leisleri,0.311,0.504,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240821_044000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24000.0,20.39591743602708,131.8965,131.9162,22890.0,32838.0,Echolocation,Eptesicus serotinus,0.339,0.566,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240827_033000.WAV,recover-20240829,UBNA_008,Central Pond
HF,48000.0,9.018427683550705,97.9055,97.9141,46953.0,64152.0,Echolocation,Pipistrellus pipistrellus,0.434,0.586,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240826_071000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24000.0,10.79725408019299,183.0845,183.1034,22890.0,27164.0,Echolocation,Nyctalus leisleri,0.397,0.511,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240827_033000.WAV,recover-20240829,UBNA_008,Central Pond
LF,23040.0,4.672605359389531,216.5515,216.5682,22890.0,27282.0,Echolocation,Nyctalus leisleri,0.389,0.544,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240821_044000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24000.0,11.313415305668894,219.8695,219.8844,23750.0,27339.0,Echolocation,Nyctalus leisleri,0.488,0.58,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240827_033000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24000.0,12.88783447854412,244.9525,244.9719,23750.0,28014.0,Echolocation,Nyctalus leisleri,0.411,0.511,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240827_033000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24960.0,12.205498960059181,181.5355,181.5522,24609.0,29631.0,Echolocation,Nyctalus leisleri,0.378,0.621,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240821_044000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24960.0,7.86032991833032,296.8875,296.8994,24609.0,29748.0,Echolocation,Nyctalus leisleri,0.413,0.6,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240827_033000.WAV,recover-20240829,UBNA_008,Central Pond
