start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file
22.5045,22.5205,23750,29002,Nyctalus leisleri,0.6,0.699,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
22.7705,22.7867,23750,28057,Nyctalus leisleri,0.581,0.665,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
22.9395,22.9561,23750,28341,Nyctalus leisleri,0.569,0.643,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
23.0955,23.1115,23750,28458,Nyctalus leisleri,0.618,0.709,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
23.3665,23.3803,24609,31149,Nyctalus leisleri,0.392,0.641,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
23.6415,23.6563,23750,27551,Nyctalus leisleri,0.495,0.547,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
23.9135,23.9289,23750,29161,Nyctalus leisleri,0.527,0.656,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
24.2075,24.2215,23750,30549,Nyctalus leisleri,0.441,0.675,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
24.7775,24.7941,23750,28287,Nyctalus leisleri,0.515,0.605,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
25.3735,25.3877,23750,29314,Nyctalus leisleri,0.455,0.609,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
26.2625,26.2758,24609,28948,Nyctalus leisleri,0.434,0.524,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
26.5875,26.6026,23750,28275,Nyctalus leisleri,0.62,0.682,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
